country,year,premium
AL,2017,2.2489502099580085
AL,2018,2.098877605558525
AL,2019,2.0849146110056926
AL,2020,1.9642857142857142
AL,2021,1.9845058626465661
AL,2022,1.8124782154060648
AL,2023,1.6898454746136866
AT,2003,1.5766264583745304
AT,2004,1.505510653930933
AT,2005,1.5235652646189126
AT,2006,1.562679017612286
AT,2007,1.5592023265475696
AT,2008,1.5613820686590378
AT,2009,1.5998311969193437
AT,2010,1.570894375576273
AT,2011,1.5539284286285486
AT,2012,1.5769513810528382
AT,2013,1.5302489362742702
AT,2014,1.5606999809269502
AT,2015,1.5304095790173904
AT,2016,1.5555285776720245
AT,2017,1.5768597309909416
AT,2018,1.5193200071390327
AT,2019,1.490225041272048
AT,2020,1.546777457269557
AT,2021,1.5272409232475788
AT,2022,1.5729355814958927
AT,2023,1.5936004221158557
AT,2024,1.5608499449241375
AT,2025,1.5647008207572146
BE,2003,1.5149688567410087
BE,2004,1.5653816553557685
BE,2005,1.5080183276059564
BE,2006,1.6070762342992164
BE,2007,1.5428990466878514
BE,2008,1.5924980711021426
BE,2009,1.5610388147146639
BE,2010,1.5925166581240389
BE,2011,1.6351600276306701
BE,2012,1.6361238532110092
BE,2013,1.605728545079744
BE,2014,1.677251002581992
BE,2015,1.6692696876374835
BE,2016,1.6710005350454789
BE,2017,1.6940850769312676
BE,2018,1.6710268822741785
BE,2019,1.5953526412008083
BE,2020,1.615473601406691
BE,2021,1.6154781388823942
BE,2022,1.65190881375984
BE,2023,1.6297901266037895
BE,2024,1.5644707965964655
BE,2025,1.5269232196533937
BG,2006,2.0701754385964914
BG,2007,2.1856899488926746
BG,2008,2.0182896688086998
BG,2009,2.1357767596834654
BG,2010,2.3120507399577166
BG,2011,2.6957558416785883
BG,2012,2.383177570093458
BG,2013,2.7338403041825097
BG,2014,2.713065755764304
BG,2015,2.8329228243021345
BG,2016,2.837101984310106
BG,2017,3.3402061855670104
BG,2018,3.282808137215796
BG,2019,3.49721059972106
BG,2020,3.305732484076433
BG,2021,2.9541495901639343
BG,2022,3.151642796967144
BG,2023,3.307046979865772
BG,2024,3.260509177027827
BG,2025,2.8828048381824125
CH,2007,1.5486568032280346
CH,2008,1.6349946897284175
CH,2009,1.7001515879764855
CH,2010,1.7145799304026703
CH,2011,1.739467520042229
CH,2012,1.7019788418383703
CH,2013,1.675329338009887
CH,2014,1.6945743273048082
CH,2015,1.6629006682523502
CH,2016,1.685659064553537
CH,2017,1.6847522008058928
CH,2018,1.6052817546522888
CH,2019,1.6442857142857144
CH,2020,1.6866898085371806
CH,2021,1.6515437307654124
CH,2022,1.7391157522859517
CH,2023,1.6288559685651054
